CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,TORINO,164897,76515,124770,59155,823,972,765,743,15783,15055,5056,12970,33228,846,601,7303,239,2576,19402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36637,47645,29.36362907750261,38.186262723411076
PIEMONTE 1,TORINO,149325,71319,104273,51461,793,1129,582,656,20678,11604,2880,3527,21849,329,346,4239,300,1311,27831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35818,26051,34.350215300221535,24.983456887209538
PIEMONTE 1,TORINO,173119,81030,127061,61210,832,1126,811,643,19791,14632,4893,7457,30956,634,563,6233,335,1843,28149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39959,39610,31.44867425882057,31.174003037910925
PIEMONTE 1,TORINO,161450,75967,118966,57762,772,1074,679,534,18597,12416,4136,5351,30278,544,526,5517,281,1265,29751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35683,36699,29.994284081166043,30.84830960106249
PIEMONTE 1,ALPIGNANO,13746,6644,10475,5196,71,93,66,41,1683,1095,340,406,2073,37,39,425,33,110,3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3159,2555,30.157517899761338,24.391408114558473
PIEMONTE 1,BEINASCO,14399,6894,11267,5530,85,84,35,36,1832,1091,273,288,2508,47,36,436,23,121,3729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232,2879,28.685541847874322,25.552498446791517
PIEMONTE 1,BRUINO,6810,3341,5599,2788,41,51,25,11,992,658,172,135,1091,60,17,215,14,53,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833,1303,32.737988926594035,23.272012859439187
PIEMONTE 1,COLLEGNO,39929,19039,31392,15390,169,261,185,83,4798,2518,891,1062,7076,104,130,1864,96,259,9472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8290,8372,26.408002038735983,26.669215086646282
PIEMONTE 1,DRUENTO,6823,3318,5462,2691,39,50,50,19,1105,564,171,181,1076,13,16,206,10,46,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859,1286,34.03515195898938,23.544489198095935
PIEMONTE 1,GRUGLIASCO,30815,14718,23968,11777,130,186,156,75,3611,2002,640,842,5630,85,73,1045,74,261,7792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6328,6630,26.401869158878505,27.661882510013353
