CIRC-REG,COMUNE,ELETTORITOT,ELETTORIM,VOTANTITOT,VOTANTIM,SKBIANCHE,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,MOVIMENTO 5 STELLE,AZIONE - ITALIA VIVA - CALENDA,ITALEXIT PER L'ITALIA,UNIONE POPOLARE CON DE MAGISTRIS,ITALIA SOVRANA E POPOLARE,VITA,FRATELLI D'ITALIA CON GIORGIA MELONI,MASTELLA NOI DI CENTRO EUROPEISTI,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,FREE,SUD CHIAMA NORD,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,PARTITO COMUNISTA ITALIANO,PARTITO DELLA FOLLIA CREATIVA,FORZA DEL POPOLO,SUDTIROLER VOLKSPARTEI (SVP) - PATT,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,CASELLE TORINESE,10851,5312,7075,3523,84,631,476,23,1262,241,247,36,1033,422,170,78,78,43,1690,0,0,0,0,0,0,0,0,0,2820,1786,39.85865724381625,25.243816254416963
PIEMONTE 1,COLLEGNO,39404,18811,27199,13252,210,1982,1303,228,5913,1653,1089,131,3800,2102,606,360,359,240,5326,0,0,0,0,0,0,0,0,0,8839,8786,32.49751829111364,32.30265818596272
PIEMONTE 1,DRUENTO,7133,3429,4960,2451,47,398,330,16,1000,199,201,14,611,314,95,75,65,55,1212,0,0,0,0,0,0,0,0,0,1956,1414,39.435483870967744,28.508064516129032
PIEMONTE 1,GRUGLIASCO,30318,14446,20585,10031,177,1468,1082,62,4902,846,778,130,2939,1404,500,293,302,162,4145,0,0,0,0,0,0,0,0,0,6757,6656,32.82487247996114,32.334223949477774
PIEMONTE 1,LEINI,12530,6183,8245,4147,68,805,629,22,1332,227,260,51,966,505,176,91,84,63,2384,0,0,0,0,0,0,0,0,0,3840,1870,46.57368101879927,22.68041237113402
PIEMONTE 1,MAPPANO,5968,2925,4143,2051,48,403,299,9,737,122,122,18,604,233,87,51,72,27,1057,0,0,0,0,0,0,0,0,0,1768,999,42.6743905382573,24.112961622013035
PIEMONTE 1,PIANEZZA,12290,5932,8690,4240,67,681,640,44,1693,330,326,39,1021,628,274,96,159,114,2089,0,0,0,0,0,0,0,0,0,3454,2388,39.74683544303797,27.47986191024166
PIEMONTE 1,REANO,1448,719,980,491,12,83,72,6,140,25,52,4,112,73,28,16,18,8,267,0,0,0,0,0,0,0,0,0,428,221,43.673469387755105,22.551020408163268
PIEMONTE 1,RIVOLI,39171,18684,26293,12827,218,2048,1617,100,5843,917,1047,96,3447,2216,644,310,363,212,5603,0,0,0,0,0,0,0,0,0,9368,7903,35.62925493477351,30.05742973414978
PIEMONTE 1,ROSTA,4072,1967,3014,1473,26,185,239,11,529,107,134,10,349,337,81,39,41,30,726,0,0,0,0,0,0,0,0,0,1161,780,38.52023888520239,25.8792302587923
