comune,employment_rate,Regione
Agliè  ,72.83,PIEMONTE
Airasca  ,71.29,PIEMONTE
Ala di Stura  ,73.41,PIEMONTE
Albiano d'Ivrea  ,69.54,PIEMONTE
Almese  ,72.66,PIEMONTE
Alpette  ,68.74,PIEMONTE
Alpignano  ,68.64,PIEMONTE
Andezeno  ,72.16,PIEMONTE
Andrate  ,67.91,PIEMONTE
Angrogna  ,69.67,PIEMONTE
Arignano  ,75.31,PIEMONTE
Avigliana  ,70.22,PIEMONTE
Azeglio  ,73.21,PIEMONTE
Bairo  ,71.14,PIEMONTE
Balangero  ,70.72,PIEMONTE
Baldissero Canavese  ,64.59,PIEMONTE
Baldissero Torinese  ,68.95,PIEMONTE
Balme  ,71.64,PIEMONTE
Banchette  ,71.78,PIEMONTE
Barbania  ,69.62,PIEMONTE
Bardonecchia  ,68.68,PIEMONTE
Barone Canavese  ,68.61,PIEMONTE
Beinasco  ,71.31,PIEMONTE
Bibiana  ,72.40,PIEMONTE
Bobbio Pellice  ,66.60,PIEMONTE
Bollengo  ,70.43,PIEMONTE
Borgaro Torinese  ,72.91,PIEMONTE
Borgiallo  ,66.76,PIEMONTE
Borgofranco d'Ivrea  ,71.32,PIEMONTE
Borgomasino  ,68.98,PIEMONTE
Borgone Susa  ,64.74,PIEMONTE
Bosconero  ,69.09,PIEMONTE
Brandizzo  ,71.36,PIEMONTE
Bricherasio  ,74.15,PIEMONTE
Brosso  ,74.24,PIEMONTE
Brozolo  ,71.72,PIEMONTE
Bruino  ,71.84,PIEMONTE
Brusasco  ,65.02,PIEMONTE
Bruzolo  ,69.19,PIEMONTE
Buriasco  ,76.31,PIEMONTE
Burolo  ,71.06,PIEMONTE
Busano  ,71.71,PIEMONTE
Bussoleno  ,63.82,PIEMONTE
Buttigliera Alta  ,71.68,PIEMONTE
Cafasse  ,71.53,PIEMONTE
Caluso  ,69.54,PIEMONTE
Cambiano  ,71.95,PIEMONTE
Campiglione Fenile  ,73.66,PIEMONTE
Candia Canavese  ,68.53,PIEMONTE
Candiolo  ,72.18,PIEMONTE
Canischio  ,67.53,PIEMONTE
Cantalupa  ,70.94,PIEMONTE
Cantoira  ,69.79,PIEMONTE
Caprie  ,71.70,PIEMONTE
Caravino  ,71.12,PIEMONTE
Carema  ,68.96,PIEMONTE
Carignano  ,70.53,PIEMONTE
Carmagnola  ,69.64,PIEMONTE
Casalborgone  ,70.86,PIEMONTE
Cascinette d'Ivrea  ,69.42,PIEMONTE
Caselette  ,73.29,PIEMONTE
Caselle Torinese  ,71.54,PIEMONTE
Castagneto Po  ,72.55,PIEMONTE
Castagnole Piemonte  ,70.56,PIEMONTE
Castellamonte  ,68.13,PIEMONTE
Castelnuovo Nigra  ,69.33,PIEMONTE
Castiglione Torinese  ,73.66,PIEMONTE
Cavagnolo  ,67.53,PIEMONTE
Cavour  ,73,PIEMONTE
Cercenasco  ,71.25,PIEMONTE
Ceres  ,59.95,PIEMONTE
Ceresole Reale  ,75.81,PIEMONTE
Cesana Torinese  ,66.14,PIEMONTE
Chialamberto  ,71.54,PIEMONTE
Chianocco  ,66.74,PIEMONTE
Chiaverano  ,70.75,PIEMONTE
Chieri  ,70.09,PIEMONTE
Chiesanuova  ,69.09,PIEMONTE
Chiomonte  ,63.52,PIEMONTE
Chiusa di San Michele  ,66.64,PIEMONTE
Chivasso  ,70.09,PIEMONTE
Ciconio  ,76.28,PIEMONTE
Cintano  ,68.13,PIEMONTE
Cinzano  ,63.76,PIEMONTE
Ciriè  ,69.30,PIEMONTE
Claviere  ,55.18,PIEMONTE
Coassolo Torinese  ,70.69,PIEMONTE
Coazze  ,66.41,PIEMONTE
Collegno  ,71.85,PIEMONTE
Colleretto Castelnuovo  ,74.12,PIEMONTE
Colleretto Giacosa  ,72.27,PIEMONTE
Condove  ,70.12,PIEMONTE
Corio  ,69.10,PIEMONTE
Cossano Canavese  ,66.93,PIEMONTE
Cuceglio  ,72.51,PIEMONTE
Cumiana  ,71.86,PIEMONTE
Cuorgnè  ,68.67,PIEMONTE
Druento  ,70.73,PIEMONTE
Exilles  ,67.09,PIEMONTE
Favria  ,70.39,PIEMONTE
Feletto  ,64.94,PIEMONTE
Fenestrelle  ,68.76,PIEMONTE
Fiano  ,71.44,PIEMONTE
Fiorano Canavese  ,67.79,PIEMONTE
Foglizzo  ,69.95,PIEMONTE
Forno Canavese  ,66.83,PIEMONTE
Frassinetto  ,76.08,PIEMONTE
Front  ,69.27,PIEMONTE
Frossasco  ,69.10,PIEMONTE
Garzigliana  ,73.67,PIEMONTE
Gassino Torinese  ,70.30,PIEMONTE
Germagnano  ,66.98,PIEMONTE
Giaglione  ,72.47,PIEMONTE
Giaveno  ,67.77,PIEMONTE
Givoletto  ,73.55,PIEMONTE
Gravere  ,65.91,PIEMONTE
Groscavallo  ,75,PIEMONTE
Grosso  ,74.71,PIEMONTE
Grugliasco  ,71.62,PIEMONTE
Ingria  ,63.16,PIEMONTE
Inverso Pinasca  ,70.85,PIEMONTE
Isolabella  ,70.91,PIEMONTE
Issiglio  ,68.98,PIEMONTE
Ivrea  ,69.59,PIEMONTE
La Cassa  ,71.51,PIEMONTE
La Loggia  ,74.14,PIEMONTE
Lanzo Torinese  ,68.36,PIEMONTE
Lauriano  ,68.19,PIEMONTE
Leini  ,71.27,PIEMONTE
Lemie  ,59.76,PIEMONTE
Lessolo  ,73.98,PIEMONTE
Levone  ,71.84,PIEMONTE
Locana  ,68.53,PIEMONTE
Lombardore  ,69.76,PIEMONTE
Lombriasco  ,69.83,PIEMONTE
Loranzè  ,74.90,PIEMONTE
Luserna San Giovanni  ,66.11,PIEMONTE
Lusernetta  ,70.11,PIEMONTE
Lusigliè  ,67.54,PIEMONTE
Macello  ,68.69,PIEMONTE
Maglione  ,67.14,PIEMONTE
